SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-4.0,6.0,2.33,0.0,26.0,Risk/Caution
-5.0,6.0,2.38,2.11,-12.0,Risk/Caution
-4.6510770255019445,6.953231076505833,2.5943139711123724,2.505649149853464,-16.46031342810889,Risk/Caution
-3.6170731252462103,6.0,2.434951169023293,2.087878043777083,8.041464369829587,Risk/Caution
-5.0,6.00223293014751,2.4939213382721777,2.3298883534926245,1.9575743271973067,Risk/Caution
-2.5,7.0,2.75,0.0,0.0,Risk/Caution
-3.0,6.0,2.28,2.15,22.0,Risk/Caution
-3.0,6.0,2.18,2.3,-24.0,Risk/Caution
-2.8105524217930853,5.9149596755437805,2.669211691766592,1.830552421793085,26.404717728806467,Risk/Caution
-4.5,5.0,2.0,2.0,32.0,Risk/Caution
-2.855665961608099,5.570443974405399,2.1487289640951364,2.5924731500181055,27.8591120511892,Risk/Caution
-4.961172024349349,7.883516073048048,2.972629869706206,2.2606741007640143,-33.825633363563554,Risk/Caution
-2.2962735057040824,6.703726494295918,2.132217436197857,2.3214782907985714,6.518017125489813,Risk/Caution
-3.0483605664043543,6.395150236001815,2.584593568440526,2.228145492919946,4.427938907914722,Risk/Caution
-3.971712095389104,5.028287904610896,2.075940459968288,2.2763225724005833,27.83027257233462,Risk/Caution
-4.963329432896897,5.0,2.241001170130931,2.360197893764324,21.073341134206206,Risk/Caution
-4.206624417168076,5.0,2.0,2.0,30.239746503008455,Risk/Caution
-5.0,8.0,1.88,2.86,0.0,Risk/Caution
-4.0,5.0,2.0,2.0,29.0,Risk/Caution
-2.8790198347939286,5.252679889862619,1.9264471405258143,1.818499261676933,16.441042423022378,Risk/Caution
-0.5323835922446942,5.985920177284916,2.3,0.0,0.1407982271508445,Risk/Caution
-4.536849560743326,5.221097364459953,2.4271674377514567,2.118843894578398,17.725450953774242,Risk/Caution
